country_code,agent_id,distributor_email
ES,1768be3b-bc0d-44cd-ae56-2cf795045b10,info@holidaygolf.com
LK,,
SD,,
SR,,
SJ,,
SZ,,
SE,1768be3b-bc0d-44cd-ae56-2cf795045b10,info@sportsbackup.dk
CH,1768be3b-bc0d-44cd-ae56-2cf795045b10,info@catrade.ch
SY,,
TW,,
TJ,,
TZ,,
TH,,
TL,,
TG,,
TK,,
TO,,
TT,,
TN,,
TR,,
TM,,
TC,,
TV,,
UG,,
UA,1768be3b-bc0d-44cd-ae56-2cf795045b10,cosmosgolf@ukr.net
AE,,
GB,fb403418-626b-4ed1-abb4-fca4b7fe9d67,uk@bigmaxgolf.com
US,c82bb209-1951-472e-93fe-68d78e1110ad,cs.us@bigmaxgolf.com
UM,,
UY,,
UZ,,
VU,,
VE,,
VN,,
VG,,
VI,,
WF,,
EH,,
YE,,
ZM,,
ZW,,
